Age,Gender,Income,CoapplicantIncome,LoanAmount,LoanTerm,CreditScore,EmploymentStatus,MaritalStatus,PropertyArea,Output
21,Male,56337,46721,665179,157,825,Unemployed,Divorced,Rural,0
46,Male,61331,28231,761899,95,591,Employed,Single,Semiurban,0
35,Male,64197,41863,92175,290,344,Unemployed,Single,Rural,1
43,Female,74042,9642,513155,27,499,Unemployed,Married,Rural,0
61,Male,52924,17839,51935,272,323,Unemployed,Single,Urban,1
51,Male,30842,23681,736967,302,686,Employed,Widowed,Rural,1
27,Female,19458,7035,664358,251,734,Unemployed,Married,Semiurban,0
53,Female,67382,33299,46750,144,541,Unemployed,Divorced,Urban,0
31,Female,76319,35035,403396,57,502,Self-employed,Divorced,Urban,0
48,Male,13170,49484,108725,72,536,Unemployed,Single,Semiurban,1
65,Female,46942,23583,547167,90,593,Self-employed,Married,Urban,0
32,Male,18208,22105,328977,255,647,Self-employed,Married,Semiurban,0
25,Male,37178,16130,19316,336,386,Unemployed,Divorced,Rural,1
31,Female,11039,13736,684885,128,509,Unemployed,Widowed,Urban,0
40,Male,16990,42281,796810,207,301,Unemployed,Widowed,Rural,1
57,Male,8441,13815,709029,11,528,Self-employed,Married,Urban,1
38,Male,76221,24396,400793,342,709,Employed,Married,Semiurban,0
33,Male,47959,24312,157762,204,542,Employed,Divorced,Semiurban,0
62,Female,28862,12244,373581,229,767,Unemployed,Married,Semiurban,0
35,Male,29273,42668,759899,18,757,Unemployed,Divorced,Semiurban,0
64,Female,44500,11718,251818,11,512,Self-employed,Widowed,Urban,1
41,Male,5956,16784,194586,126,685,Self-employed,Married,Rural,0
43,Male,74089,30683,217249,50,711,Employed,Widowed,Rural,0
42,Female,4365,44590,82383,31,814,Self-employed,Widowed,Urban,0
62,Male,74204,43997,354432,9,827,Employed,Single,Urban,0
58,Male,7000,31428,349120,298,687,Unemployed,Divorced,Rural,0
46,Male,59072,36759,473836,282,578,Employed,Divorced,Rural,0
32,Male,54499,26490,417169,289,401,Employed,Divorced,Urban,0
62,Male,71211,40701,723548,215,689,Unemployed,Single,Urban,0
18,Male,14907,47351,746360,293,501,Employed,Divorced,Urban,0
42,Female,19336,41001,722160,186,691,Self-employed,Single,Urban,1
24,Female,54331,45856,774260,258,653,Self-employed,Married,Urban,0
26,Female,79755,16410,355441,287,534,Unemployed,Single,Rural,1
41,Male,70783,35386,349286,150,413,Unemployed,Widowed,Rural,1
18,Male,71951,9362,42985,121,366,Self-employed,Divorced,Semiurban,0
61,Male,54509,39407,309861,354,339,Self-employed,Single,Semiurban,0
25,Female,8472,24011,407243,35,402,Self-employed,Single,Rural,0
41,Male,24380,7042,400752,247,710,Self-employed,Single,Rural,0
28,Female,29280,25286,793957,10,594,Employed,Single,Semiurban,1
34,Male,23859,11391,145248,267,336,Self-employed,Married,Semiurban,0
25,Male,50402,26999,743637,111,366,Unemployed,Married,Semiurban,0
52,Male,10262,2018,75423,129,702,Unemployed,Married,Urban,0
52,Female,13066,12952,94642,331,505,Self-employed,Divorced,Semiurban,1
50,Male,17554,16240,85383,143,640,Employed,Single,Urban,0
22,Female,9008,21262,343932,111,351,Self-employed,Married,Urban,1
59,Male,18238,19282,75013,218,725,Self-employed,Divorced,Semiurban,0
56,Male,19153,22459,129326,305,508,Unemployed,Widowed,Rural,0
58,Female,61353,34815,284899,61,813,Unemployed,Widowed,Semiurban,0
45,Male,54092,17942,286752,137,477,Employed,Divorced,Semiurban,0
24,Male,45152,1722,121562,274,321,Employed,Single,Semiurban,0
26,Male,51104,36820,64843,127,668,Employed,Single,Semiurban,0
25,Male,26283,1651,366590,207,381,Unemployed,Widowed,Semiurban,0
29,Female,48429,21606,418909,213,463,Employed,Single,Urban,0
51,Female,79223,34546,456124,280,676,Self-employed,Single,Semiurban,0
50,Male,56957,683,798330,95,302,Self-employed,Single,Rural,1
65,Male,30887,42239,612796,195,417,Unemployed,Single,Rural,1
40,Female,48172,18394,443161,270,694,Self-employed,Married,Urban,0
41,Male,6355,46705,181756,51,565,Employed,Married,Urban,1
54,Female,35701,18966,255758,317,734,Self-employed,Single,Semiurban,0
52,Male,43534,26469,506182,335,526,Employed,Divorced,Semiurban,1
61,Female,73442,8505,180946,45,675,Employed,Married,Urban,0
57,Female,63274,40211,214290,72,561,Employed,Single,Rural,1
39,Female,14279,5492,315152,118,665,Self-employed,Married,Semiurban,0
44,Female,45491,16827,85119,344,727,Unemployed,Divorced,Rural,1
52,Male,78147,27492,432620,67,307,Employed,Divorced,Urban,0
18,Male,10261,3266,686408,232,340,Self-employed,Married,Rural,0
52,Female,6474,5909,256987,179,556,Unemployed,Single,Rural,1
54,Female,30390,12869,511628,139,401,Self-employed,Single,Rural,1
64,Female,28925,39782,546916,290,518,Unemployed,Widowed,Semiurban,0
31,Female,61051,21863,344609,280,543,Self-employed,Single,Urban,0
20,Male,6787,44055,621498,119,602,Employed,Divorced,Semiurban,1
18,Female,75398,7819,638381,113,669,Self-employed,Divorced,Rural,0
22,Female,60177,29136,519818,148,574,Unemployed,Divorced,Semiurban,1
43,Female,45724,14837,411484,62,369,Employed,Widowed,Semiurban,1
31,Female,12663,47954,354370,299,346,Employed,Widowed,Semiurban,1
56,Female,18120,10056,69734,282,416,Self-employed,Widowed,Urban,0
44,Female,24740,715,408920,56,816,Employed,Divorced,Urban,0
26,Female,4035,17275,75050,281,553,Unemployed,Married,Rural,1
32,Male,59443,20191,117726,239,472,Employed,Single,Semiurban,0
32,Female,69388,16884,423050,247,728,Unemployed,Single,Rural,0
43,Female,54335,45462,53308,263,335,Unemployed,Married,Semiurban,0
59,Female,45315,8894,220350,242,706,Unemployed,Married,Rural,0
30,Male,66165,18717,101428,37,715,Employed,Single,Urban,0
49,Male,48627,18578,721097,353,711,Employed,Single,Rural,0
56,Male,10303,23321,459338,253,787,Self-employed,Widowed,Urban,0
49,Female,51334,42969,229595,137,620,Unemployed,Widowed,Semiurban,0
21,Female,57892,24959,174455,268,372,Unemployed,Married,Semiurban,0
47,Female,63196,10515,55420,264,712,Self-employed,Married,Semiurban,0
54,Male,67700,9077,390963,286,423,Self-employed,Divorced,Rural,0
40,Female,41726,21443,675200,255,684,Unemployed,Married,Rural,0
56,Male,77751,10443,105680,270,531,Unemployed,Married,Rural,0
62,Male,51606,37208,525047,220,732,Self-employed,Divorced,Urban,0
32,Male,32694,1783,29771,220,790,Employed,Single,Semiurban,0
60,Male,33253,13113,90555,287,385,Self-employed,Widowed,Semiurban,1
46,Male,26230,5385,21945,325,329,Unemployed,Divorced,Urban,1
53,Female,55974,36885,540929,23,499,Unemployed,Married,Urban,0
30,Female,65545,6982,544520,352,455,Employed,Married,Semiurban,1
49,Male,18925,35351,704686,7,831,Unemployed,Single,Semiurban,1
24,Female,8033,42689,737211,6,451,Unemployed,Widowed,Urban,0
39,Female,64461,13407,522863,309,376,Self-employed,Widowed,Urban,1
45,Male,4665,15316,520643,221,627,Employed,Widowed,Semiurban,0
19,Male,29025,46524,166781,169,471,Self-employed,Widowed,Semiurban,0
59,Female,25533,24838,761168,196,704,Employed,Single,Urban,0
62,Female,47897,27207,323317,80,705,Unemployed,Divorced,Semiurban,0
23,Female,79661,48116,385929,31,661,Self-employed,Single,Urban,0
45,Female,22998,28402,440305,267,427,Self-employed,Married,Semiurban,0
45,Male,63248,2430,375903,287,822,Self-employed,Single,Rural,0
61,Female,25057,39828,575120,226,635,Employed,Married,Rural,1
61,Male,72631,2936,273966,48,564,Unemployed,Single,Semiurban,1
37,Male,69173,11864,780926,127,494,Unemployed,Widowed,Urban,1
47,Female,40734,25115,25893,134,399,Employed,Widowed,Rural,1
28,Female,64072,9307,656189,270,670,Self-employed,Divorced,Urban,0
45,Female,66175,6709,345177,288,727,Unemployed,Widowed,Rural,0
42,Male,65783,29854,495553,76,432,Unemployed,Single,Rural,0
56,Male,72739,41843,93106,264,555,Self-employed,Married,Rural,0
50,Male,53042,20707,310289,206,749,Employed,Divorced,Semiurban,0
18,Male,54357,39384,260596,135,703,Unemployed,Divorced,Semiurban,0
44,Female,10669,35187,90480,335,353,Self-employed,Single,Urban,0
30,Male,69902,1399,600503,86,706,Self-employed,Single,Semiurban,0
58,Male,20910,42536,187909,259,684,Self-employed,Widowed,Urban,0
20,Female,58959,24188,44380,70,541,Employed,Widowed,Rural,0
56,Male,2366,14245,217880,151,346,Unemployed,Widowed,Semiurban,1
23,Male,50415,45746,334092,139,414,Employed,Divorced,Rural,1
25,Female,11907,23371,514125,107,429,Employed,Divorced,Urban,0
44,Male,34780,47204,203857,47,454,Self-employed,Married,Semiurban,0
26,Male,59879,32286,465991,201,794,Self-employed,Divorced,Semiurban,0
54,Male,37085,21693,189426,265,381,Self-employed,Widowed,Rural,0
50,Male,67499,34303,111177,104,324,Employed,Divorced,Semiurban,0
59,Female,22426,21137,224885,70,633,Unemployed,Divorced,Urban,0
61,Male,50197,41049,341515,302,481,Self-employed,Divorced,Semiurban,0
41,Female,9485,15365,689388,228,731,Unemployed,Married,Rural,1
32,Male,51527,13450,462298,250,473,Unemployed,Divorced,Urban,1
49,Female,66600,4190,327036,188,340,Unemployed,Married,Semiurban,1
49,Female,70748,42861,518307,154,744,Self-employed,Divorced,Rural,0
41,Female,60528,43639,150875,121,694,Unemployed,Married,Rural,0
58,Male,29799,23937,83331,325,587,Employed,Widowed,Rural,0
29,Male,48339,7452,393829,263,561,Employed,Married,Rural,0
56,Male,18087,3960,117745,84,356,Employed,Single,Rural,0
19,Female,9446,39602,676013,236,305,Self-employed,Married,Urban,1
20,Male,52460,30185,25674,124,461,Employed,Married,Rural,1
54,Male,60260,10564,571633,79,596,Unemployed,Widowed,Rural,0
34,Male,16877,47510,569208,14,356,Self-employed,Married,Semiurban,0
19,Male,26723,5091,168686,284,827,Self-employed,Widowed,Urban,0
19,Female,14943,49670,88521,275,358,Unemployed,Widowed,Rural,1
45,Female,12306,30519,648918,59,465,Employed,Widowed,Semiurban,0
40,Male,38784,3710,321994,50,845,Unemployed,Single,Urban,0
54,Male,22455,49981,198220,230,345,Unemployed,Married,Urban,1
49,Male,73448,39395,196733,21,346,Self-employed,Single,Rural,1
50,Female,31974,7988,284335,217,689,Employed,Widowed,Urban,0
18,Male,29371,35754,376299,205,551,Employed,Married,Semiurban,0
36,Female,5936,28114,127033,246,465,Employed,Widowed,Urban,0
19,Female,35166,23074,373754,107,667,Unemployed,Married,Rural,1
61,Male,27727,21198,122415,100,678,Self-employed,Married,Rural,0
43,Male,65969,10509,771582,190,616,Self-employed,Married,Semiurban,0
49,Male,30368,25180,457826,141,431,Self-employed,Divorced,Urban,1
23,Female,70531,48068,50252,30,688,Employed,Divorced,Semiurban,0
49,Female,41097,45433,623896,323,647,Employed,Divorced,Urban,0
21,Male,36984,16560,148165,338,796,Self-employed,Married,Urban,0
28,Female,52859,43281,340845,55,810,Unemployed,Widowed,Urban,0
34,Male,46291,42674,507440,174,818,Self-employed,Widowed,Urban,0
55,Male,67228,38938,476326,295,751,Unemployed,Divorced,Rural,0
41,Female,24150,35391,170408,105,842,Self-employed,Single,Rural,0
22,Female,24061,28731,292580,86,515,Unemployed,Married,Semiurban,0
51,Female,31178,19162,730800,17,769,Self-employed,Widowed,Urban,0
23,Female,58790,48344,688454,213,603,Employed,Widowed,Semiurban,0
39,Male,67696,25236,723759,82,597,Employed,Divorced,Semiurban,1
28,Male,17648,37133,9509,80,645,Employed,Single,Rural,0
65,Male,63779,11379,206134,175,585,Employed,Single,Semiurban,0
33,Female,38672,4340,305821,316,425,Self-employed,Married,Semiurban,0
50,Male,71109,4755,714861,353,350,Employed,Widowed,Semiurban,0
26,Female,62521,48731,696295,184,718,Unemployed,Married,Urban,0
23,Female,36593,41866,604934,93,350,Unemployed,Single,Urban,0
33,Female,15786,48759,651582,270,770,Employed,Single,Semiurban,0
46,Male,11815,19905,515122,227,675,Employed,Married,Semiurban,0
20,Female,23966,18259,235716,8,664,Employed,Single,Urban,0
37,Female,15794,31255,517543,123,531,Self-employed,Divorced,Urban,1
53,Female,33423,36726,72050,141,779,Unemployed,Divorced,Semiurban,0
36,Female,23302,34904,153867,192,605,Unemployed,Single,Semiurban,0
43,Female,63064,43556,98148,35,737,Unemployed,Widowed,Urban,0
20,Female,29835,41813,45492,72,550,Self-employed,Single,Urban,0
36,Female,75356,31614,612230,316,641,Self-employed,Married,Urban,1
37,Female,51282,506,244854,304,431,Unemployed,Widowed,Urban,0
49,Female,54714,8599,450126,222,823,Unemployed,Divorced,Semiurban,0
24,Female,69035,21774,64289,163,805,Unemployed,Divorced,Urban,0
58,Female,25814,8715,534096,76,698,Employed,Divorced,Urban,0
50,Female,26089,21997,522654,323,417,Self-employed,Divorced,Urban,0
57,Male,75162,35818,623279,115,360,Unemployed,Divorced,Rural,1
56,Male,57831,14783,372181,290,480,Employed,Widowed,Rural,0
35,Female,34746,31262,474181,263,612,Unemployed,Divorced,Urban,0
57,Female,53940,23476,82214,95,564,Unemployed,Widowed,Semiurban,1
18,Female,38476,2397,399230,62,328,Self-employed,Married,Urban,0
28,Male,28283,40680,77304,303,562,Unemployed,Single,Urban,0
45,Male,3769,27475,465773,54,638,Self-employed,Widowed,Urban,0
42,Male,44278,34077,450044,190,721,Self-employed,Divorced,Urban,0
40,Female,48994,39970,588172,204,388,Unemployed,Married,Rural,0
48,Female,64898,7700,761770,23,631,Employed,Married,Urban,0
47,Female,17634,4718,505495,203,730,Unemployed,Single,Urban,1
59,Female,12965,27111,638553,237,451,Unemployed,Single,Rural,1
52,Male,29566,38718,204192,32,425,Unemployed,Widowed,Urban,0
24,Female,54196,10233,9942,123,342,Employed,Widowed,Semiurban,1
33,Male,50285,14171,67681,59,720,Self-employed,Single,Rural,0
43,Male,57499,10726,497797,157,789,Employed,Single,Urban,0
65,Female,21420,26768,630635,230,552,Employed,Single,Semiurban,1
19,Male,27236,17139,536658,167,783,Unemployed,Married,Urban,0
18,Male,8218,145,442348,155,592,Unemployed,Single,Urban,1
65,Male,51892,44782,411888,221,516,Employed,Married,Semiurban,0
29,Male,76031,19958,713294,324,468,Self-employed,Divorced,Semiurban,0
22,Female,66057,26203,323353,353,684,Self-employed,Divorced,Semiurban,0
54,Female,78907,21307,78905,345,315,Unemployed,Widowed,Urban,0
49,Male,13226,34626,406683,322,336,Self-employed,Widowed,Semiurban,0
26,Female,54271,37490,90401,343,720,Self-employed,Single,Semiurban,0
58,Male,12046,3598,460446,47,595,Self-employed,Widowed,Urban,0
52,Female,39117,13583,16551,357,734,Employed,Divorced,Urban,0
36,Female,6965,47637,715284,166,619,Employed,Widowed,Urban,0
65,Female,61478,17013,583776,79,833,Unemployed,Married,Urban,0
33,Female,59277,47984,184669,30,598,Self-employed,Widowed,Rural,1
20,Female,61613,44126,713634,308,315,Unemployed,Divorced,Urban,0
37,Male,19373,36286,122648,247,694,Employed,Divorced,Semiurban,0
41,Female,47452,37120,668257,178,576,Unemployed,Divorced,Semiurban,0
50,Male,52089,44874,466221,292,582,Employed,Divorced,Urban,1
41,Male,8654,40197,229269,164,385,Employed,Married,Semiurban,0
28,Female,33280,9096,314748,359,506,Unemployed,Widowed,Semiurban,0
25,Male,58141,5555,234005,223,776,Self-employed,Divorced,Rural,0
53,Female,69894,32719,569107,120,430,Unemployed,Widowed,Rural,0
55,Male,28583,7997,376012,246,699,Self-employed,Single,Urban,0
57,Male,8360,10809,123756,313,435,Unemployed,Married,Rural,1
37,Female,55968,27365,747723,217,645,Unemployed,Single,Semiurban,0
52,Female,5743,49259,145854,91,469,Unemployed,Married,Urban,0
65,Female,9159,25618,559686,138,462,Employed,Divorced,Urban,1
42,Female,34151,25964,320676,273,498,Unemployed,Widowed,Semiurban,1
52,Male,2518,9868,423860,282,347,Employed,Married,Semiurban,0
42,Female,18652,21882,479755,270,793,Employed,Single,Semiurban,0
46,Male,73011,20639,499065,98,402,Employed,Single,Semiurban,0
35,Male,44348,36963,680393,96,847,Unemployed,Widowed,Rural,0
63,Male,77422,41224,449182,150,305,Unemployed,Married,Semiurban,1
35,Male,79001,36589,139979,157,311,Unemployed,Single,Urban,0
19,Male,78757,49828,696859,160,402,Unemployed,Single,Rural,0
52,Male,26395,29470,228376,141,726,Employed,Married,Urban,0
33,Female,4335,44446,78221,258,470,Self-employed,Divorced,Semiurban,0
58,Male,72112,5178,668633,323,388,Self-employed,Divorced,Semiurban,1
53,Male,2500,10898,722779,34,738,Employed,Widowed,Urban,1
50,Male,10083,5566,673838,88,646,Employed,Divorced,Urban,0
21,Female,7543,20353,363124,335,510,Self-employed,Widowed,Semiurban,1
50,Female,70812,38188,212976,39,733,Self-employed,Single,Rural,0
31,Male,54237,33375,511343,321,832,Self-employed,Single,Semiurban,0
38,Female,8613,5674,387701,109,824,Self-employed,Divorced,Rural,1
65,Male,68863,22272,641213,238,725,Self-employed,Married,Semiurban,0
37,Female,42540,21716,13273,242,419,Unemployed,Divorced,Rural,1
25,Male,78202,23740,706760,228,477,Self-employed,Widowed,Semiurban,0
24,Female,28255,23170,44708,95,428,Unemployed,Widowed,Urban,0
20,Female,24068,35162,561840,338,717,Unemployed,Married,Urban,0
34,Female,51057,11051,711920,245,617,Employed,Single,Semiurban,0
50,Male,20946,8070,293574,223,541,Employed,Single,Semiurban,1
65,Male,22547,29472,688935,187,655,Self-employed,Divorced,Rural,0
29,Male,7769,42807,587721,262,737,Employed,Widowed,Rural,0
39,Female,26883,34789,316919,237,757,Self-employed,Widowed,Semiurban,0
39,Female,63340,20982,48436,194,741,Employed,Married,Rural,0
63,Male,37162,31518,712984,334,527,Employed,Married,Urban,1
47,Female,35434,19399,169010,349,707,Self-employed,Divorced,Urban,0
55,Male,24102,27313,31358,260,576,Employed,Married,Semiurban,0
55,Male,23536,16110,669129,50,317,Self-employed,Single,Urban,0
62,Male,79891,34816,340939,321,610,Employed,Married,Rural,0
25,Male,69770,22353,104819,91,623,Self-employed,Widowed,Semiurban,0
44,Female,52388,28530,603016,206,346,Unemployed,Widowed,Urban,1
44,Female,52775,893,629790,348,829,Self-employed,Widowed,Semiurban,0
51,Female,33147,45811,158359,217,799,Employed,Widowed,Urban,0
38,Male,52526,28724,560635,124,491,Unemployed,Single,Urban,1
47,Female,25659,26885,242131,303,348,Unemployed,Divorced,Urban,0
50,Male,25088,44560,407202,160,393,Self-employed,Married,Urban,0
45,Male,70464,13613,269210,191,466,Self-employed,Divorced,Semiurban,0
64,Male,61998,14316,47779,202,793,Unemployed,Divorced,Urban,0
50,Male,42382,6087,232362,342,553,Self-employed,Married,Urban,0
22,Male,30184,35701,324858,206,356,Self-employed,Widowed,Urban,0
65,Male,22099,18665,369355,271,305,Self-employed,Widowed,Semiurban,0
36,Female,71810,41032,585400,241,537,Employed,Widowed,Urban,0
21,Female,39739,34148,643192,199,523,Employed,Married,Urban,1
52,Female,10389,29622,115962,30,319,Unemployed,Married,Urban,0
34,Female,19352,30298,195104,264,503,Unemployed,Widowed,Semiurban,1
61,Male,23148,16867,243706,76,441,Unemployed,Single,Urban,0
45,Male,33828,41989,493784,33,675,Self-employed,Divorced,Urban,0
47,Female,70040,44741,47125,16,706,Self-employed,Single,Semiurban,0
46,Female,58795,13164,325996,354,379,Self-employed,Divorced,Rural,0
63,Female,60620,20163,379197,123,509,Unemployed,Divorced,Semiurban,1
23,Female,59114,6101,435542,213,611,Unemployed,Single,Rural,0
52,Female,42711,37722,103226,98,676,Employed,Divorced,Rural,0
58,Female,19748,38721,574824,146,339,Self-employed,Single,Rural,0
54,Female,35691,39048,190142,360,652,Self-employed,Widowed,Rural,0
41,Female,67282,33546,423315,16,752,Employed,Married,Rural,0
46,Male,62360,3475,107643,296,722,Unemployed,Divorced,Semiurban,0
63,Male,12246,4723,431222,244,385,Unemployed,Single,Urban,1
48,Male,61395,14890,383052,269,535,Unemployed,Married,Semiurban,1
52,Male,34486,23270,251528,268,714,Self-employed,Divorced,Semiurban,0
50,Female,32340,6713,554098,74,655,Employed,Divorced,Urban,1
38,Male,52300,27853,224322,75,547,Employed,Divorced,Urban,0
49,Female,5086,8601,130640,190,528,Unemployed,Divorced,Semiurban,1
40,Male,16860,17443,365038,129,838,Self-employed,Married,Semiurban,0
50,Female,19013,17984,495785,227,660,Employed,Divorced,Semiurban,0
20,Female,9407,12735,536676,16,474,Self-employed,Divorced,Semiurban,1
35,Male,35542,18617,386424,171,673,Unemployed,Married,Urban,0
42,Male,26935,26228,96631,96,360,Unemployed,Married,Rural,0
59,Female,51079,42257,326391,253,469,Employed,Divorced,Semiurban,0
48,Female,36111,13974,790709,346,806,Unemployed,Married,Rural,0
20,Female,58550,49503,739818,310,713,Employed,Married,Rural,0
57,Male,77697,46492,161583,296,415,Unemployed,Single,Semiurban,1
63,Male,78955,44182,194684,162,474,Employed,Married,Semiurban,1
41,Female,42565,10623,699584,93,723,Unemployed,Widowed,Urban,0
49,Male,21283,15395,30394,233,427,Unemployed,Single,Rural,1
64,Female,68470,6469,754039,139,788,Self-employed,Widowed,Semiurban,0
39,Male,40233,25040,58269,271,304,Self-employed,Single,Semiurban,0
40,Male,24695,43473,719819,89,625,Unemployed,Single,Urban,0
19,Male,44734,3166,72975,217,471,Employed,Single,Semiurban,1
44,Male,3505,21637,229571,223,498,Unemployed,Single,Rural,1
59,Male,7363,2209,522184,346,530,Self-employed,Married,Semiurban,1
19,Female,50708,8747,392612,242,632,Employed,Widowed,Semiurban,0
43,Female,45614,33067,135752,156,765,Unemployed,Married,Urban,1
34,Male,3010,20250,113369,179,723,Unemployed,Married,Rural,1
57,Female,21861,24931,640091,145,612,Self-employed,Divorced,Rural,1
50,Female,26125,46319,752245,60,822,Employed,Married,Rural,0
26,Male,11369,33331,209999,146,723,Employed,Single,Semiurban,0
60,Female,71393,12201,690018,79,474,Employed,Divorced,Semiurban,1
65,Male,28671,41982,603193,140,673,Unemployed,Divorced,Semiurban,0
56,Female,77400,31305,341802,322,536,Self-employed,Married,Rural,0
46,Female,66512,17574,279072,135,742,Unemployed,Widowed,Rural,0
59,Female,77656,30859,301948,237,337,Self-employed,Divorced,Rural,1
43,Female,46138,10096,768341,31,838,Self-employed,Married,Rural,0
52,Female,55420,10228,56243,74,455,Employed,Married,Semiurban,0
42,Female,70089,9218,126118,67,493,Unemployed,Single,Urban,1
41,Female,17489,24831,183884,205,460,Employed,Widowed,Rural,0
30,Male,61789,18802,443264,172,425,Self-employed,Divorced,Urban,0
24,Male,71925,47381,135218,121,846,Self-employed,Widowed,Rural,0
53,Male,51703,18947,764990,144,538,Employed,Widowed,Urban,1
62,Male,78625,19335,684951,237,340,Employed,Widowed,Urban,0
37,Female,60228,46861,412107,219,485,Self-employed,Divorced,Urban,0
18,Female,5051,29907,376574,213,760,Unemployed,Divorced,Semiurban,1
25,Female,40090,16653,767692,107,688,Employed,Widowed,Urban,0
63,Male,30805,39387,537009,303,560,Unemployed,Married,Semiurban,0
33,Male,46557,22031,482293,15,705,Self-employed,Divorced,Urban,0
31,Male,4555,9119,162224,128,845,Employed,Single,Semiurban,1
29,Female,52241,4555,185529,280,748,Employed,Widowed,Rural,0
40,Male,67994,46095,339803,9,700,Self-employed,Divorced,Rural,0
32,Female,18066,1042,514957,264,606,Employed,Divorced,Urban,0
